date,open,high,low,close,volume
3/5/2019 0:00,6.21,6.29,6.2,6.28,7642000
3/6/2019 0:00,6.2,6.23,6.15,6.21,5185500
3/7/2019 0:00,6.21,6.24,6.07,6.1,3134000
3/8/2019 0:00,6.1,6.12,5.99,6.01,4466000
3/11/2019 0:00,6.1,6.1,6,6.04,4109000
3/12/2019 0:00,6,6.05,5.88,5.98,5863500
3/13/2019 0:00,5.98,6.08,5.95,6,8068500
3/14/2019 0:00,6,6.05,5.89,5.9,4068000
3/15/2019 0:00,5.95,6,5.64,5.67,17033500
3/18/2019 0:00,5.75,5.85,5.5,5.81,15346500
3/19/2019 0:00,5.85,5.88,5.65,5.71,1296000
3/20/2019 0:00,5.7,5.75,5.65,5.71,1676000
3/21/2019 0:00,5.7,5.7,5.59,5.61,1365000
3/22/2019 0:00,5.69,5.74,5.58,5.64,2088000
3/25/2019 0:00,5.7,5.7,5.35,5.39,5504500
3/26/2019 0:00,5.45,5.52,5.4,5.45,7164500
3/27/2019 0:00,5.59,5.67,5.5,5.62,13503000
3/28/2019 0:00,5.6,5.61,5.46,5.49,1722000
3/29/2019 0:00,5.5,5.66,5.45,5.59,7668000
4/1/2019 0:00,5.5,5.59,5.35,5.41,3815500
4/2/2019 0:00,5.4,5.45,5.22,5.25,8847500
4/3/2019 0:00,5.32,5.35,5.17,5.21,7708500
4/4/2019 0:00,5.28,5.28,5.05,5.1,8774000
4/5/2019 0:00,5.1,5.25,5,5.23,7769000
4/8/2019 0:00,5.2,5.2,4.93,4.98,10902500
4/9/2019 0:00,4.98,5.33,4.98,5.26,9525000
4/10/2019 0:00,5.22,5.23,4.95,4.98,11584500
4/11/2019 0:00,4.97,5.15,4.94,5.05,11124500
4/12/2019 0:00,5.06,5.26,5.02,5.23,14841500
4/15/2019 0:00,5.23,5.25,5.04,5.1,13986500
4/16/2019 0:00,5.09,5.11,4.97,5.01,13353000
4/17/2019 0:00,5.05,5.05,4.83,4.87,3538500
4/18/2019 0:00,4.95,5.11,4.85,5.06,7630500
4/19/2019 0:00,5.06,5.12,4.98,5.03,13551000
